Key,Remarks,id,enumId,bg,icon,icon2,sort,activityType,goToType,group,title,bgTitle,subTitle,titleBG,startTimeStr,endTimeStr,isAutoRefresh,autoRetime,vipLimit,levelLimit,version
1,,1,1,SmallTex/Activity/ActivityTitleText_20,huodong_002,,3,1,,,每日送豪礼,,累计登陆{0}天,,201612280500,201701040500,,0,,1,8
2,,2,2,SmallTex/Activity/ActivityTitleText,huodong_002,,2,2,,,消费返钻石,消费返钻石,累计消费{0}钻石,活动期间，您消费一定额度的钻石，将会返还你部分钻石及其他丰厚奖励，花得越多，返得越多。,201608080500,201608150500,,0,,1,8
3,,3,3,SmallTex/Activity/ActivityTitleText,huodong_003,,4,3,2,,闯关有礼,闯关有礼,挑战普通副本{0}次,活动期间，挑战普通难度关卡，挑战次数越多，奖励越丰厚！,201608080500,201608150500,,0,,1,8
4,,4,4,SmallTex/Activity/ActivityTitleText,huodong_003,,5,4,3,,精英送钻石,精英送钻石,挑战精英副本{0}次,活动期间，挑战精英难度关卡，丰厚的钻石奖励等着你！,201608080500,201608150500,,0,,1,8
5,,5,5,SmallTex/Activity/ActivityTitleText,huodong_003,,7,5,10,,封神送宝石,封神送宝石,通关封神台{0}层,活动期间，参与封神台试炼，层数爬得高，宝石送的好！,201608080500,201608150500,,0,,1,8
6,,6,6,SmallTex/Activity/ActivityTitleText,huodong_002,,6,6,5,,钓鱼有奖,钓鱼有奖,金币钓鱼{0}次,活动期间，只要您钓鱼达到一定次数，会额外得到丰富的馈赠哦！,201608080500,201608150500,,0,,1,8
7,,7,7,SmallTex/Activity/ActivityTitleText,huodong_002,,1,7,6,,充值送仙器,充值送仙器,累计充值{0}钻石,活动期间，只要您充值达到一定额度就可以领取法宝大礼包！更有顶级法宝“离地焰光旗”等你来拿，机会难得，失不再来哦！,201608080500,201608150500,,0,,1,8
8,,8,8,SmallTex/Activity/ActivityTitleText_16,huodong_002,,8,8,5,,年年有鱼,,钻石钓鱼{0}次,,201701010500,201701040500,,0,,1,8
9,,9,1,SmallTex/Activity/ActivityTitleText,huodong_002,,3,1,,,登陆奖励,登陆奖励,累计登陆{0}天,活动期间，累计登陆送好礼！,201608150000,201608220000,,0,,1,9
10,,10,2,SmallTex/Activity/ActivityTitleText,huodong_003,,2,2,,,消费返钻石,消费返钻石,累计消费{0}钻石,活动期间，您消费一定额度的钻石，将会返还你部分钻石及其他丰厚奖励，花得越多，返得越多。,201608150500,201608220500,,0,,1,9
11,,11,3,SmallTex/Activity/ActivityTitleText,huodong_003,,4,3,2,,闯关有礼,闯关有礼,挑战普通副本{0}次,活动期间，挑战普通难度关卡，挑战次数越多，奖励越丰厚！,201608150500,201608220500,,0,,1,9
12,,12,4,SmallTex/Activity/ActivityTitleText,huodong_003,,5,4,3,,精英送钻石,精英送钻石,挑战精英副本{0}次,活动期间，挑战精英难度关卡，丰厚的钻石奖励等着你！,201608150500,201608220500,,0,,1,9
13,,13,5,SmallTex/Activity/ActivityTitleText,huodong_002,,7,5,10,,封神送宝石,封神送宝石,通关封神台{0}层,活动期间，参与封神台试炼，层数爬得高，宝石送的好！,201608150500,201608220500,,0,,1,9
14,,14,6,SmallTex/Activity/ActivityTitleText,huodong_002,,6,6,5,,钓鱼有奖,钓鱼有奖,金币钓鱼{0}次,活动期间，只要您钓鱼达到一定次数，会额外得到丰富的馈赠哦！,201608150500,201608220500,,0,,1,9
15,,15,7,SmallTex/Activity/ActivityTitleText,huodong_002,,1,7,6,,充值送仙器,充值送仙器,累计充值{0}钻石,活动期间，只要您充值达到一定额度就可以领取法宝大礼包！更有顶级法宝“离地焰光旗”等你来拿，机会难得，失不再来哦！,201608150500,201608220500,,0,,1,9
16,,16,8,SmallTex/Activity/ActivityTitleText,huodong_002,,8,8,5,,年年有鱼,年年有鱼,钻石钓鱼{0}次,活动期间，只要您使用(钓鱼台)购买中级经验丹达到一定次数，会额外得到丰富的馈赠哦！,201608150500,201608220500,,0,,1,1