Key,remarks,parentCfg,id,emailTitle,subTitle,awardCount,awardGift
1,,1,1,登陆奖励,累计登陆{0}天,1,807073
2,,1,2,登陆奖励,累计登陆{0}天,2,807074
3,,1,3,登陆奖励,累计登陆{0}天,3,807075
4,,1,4,登陆奖励,累计登陆{0}天,4,807076
5,,1,5,登陆奖励,累计登陆{0}天,5,807077
6,,1,6,登陆奖励,累计登陆{0}天,6,807078
7,,1,7,登陆奖励,累计登陆{0}天,7,807079
8,,2,8,消费送大礼,累计消费{0}钻石,2000,807119
9,,2,9,消费送大礼,累计消费{0}钻石,5000,807120
10,,2,10,消费送大礼,累计消费{0}钻石,10000,807121
11,,2,11,消费送大礼,累计消费{0}钻石,15000,807122
12,,2,12,消费送大礼,累计消费{0}钻石,20000,807123
13,,2,13,消费送大礼,累计消费{0}钻石,25000,807124
14,,2,14,消费送大礼,累计消费{0}钻石,30000,807125
15,,3,15,闯关有礼,挑战普通副本{0}次,50,807103
16,,3,16,闯关有礼,挑战普通副本{0}次,100,807104
17,,3,17,闯关有礼,挑战普通副本{0}次,150,807105
18,,3,18,闯关有礼,挑战普通副本{0}次,200,807106
19,,3,19,闯关有礼,挑战普通副本{0}次,250,807107
20,,3,20,闯关有礼,挑战普通副本{0}次,300,807108
21,,3,21,闯关有礼,挑战普通副本{0}次,350,807109
22,,3,22,闯关有礼,挑战普通副本{0}次,400,807110
23,,4,23,精英闯关,挑战精英副本{0}次,50,807111
24,,4,24,精英闯关,挑战精英副本{0}次,100,807112
25,,4,25,精英闯关,挑战精英副本{0}次,150,807113
26,,4,26,精英闯关,挑战精英副本{0}次,200,807114
27,,4,27,精英闯关,挑战精英副本{0}次,250,807115
28,,4,28,精英闯关,挑战精英副本{0}次,300,807116
29,,4,29,精英闯关,挑战精英副本{0}次,350,807117
30,,4,30,精英闯关,挑战精英副本{0}次,400,807118
31,,5,31,挑战封神台,通关封神台{0}层,30,807093
32,,5,32,挑战封神台,通关封神台{0}层,36,807094
33,,5,33,挑战封神台,通关封神台{0}层,39,807095
34,,5,34,挑战封神台,通关封神台{0}层,42,807096
35,,5,35,挑战封神台,通关封神台{0}层,45,807097
36,,5,36,挑战封神台,通关封神台{0}层,48,807098
37,,5,37,挑战封神台,通关封神台{0}层,51,807099
38,,5,38,挑战封神台,通关封神台{0}层,54,807100
39,,5,39,挑战封神台,通关封神台{0}层,57,807101
40,,5,40,挑战封神台,通关封神台{0}层,60,807102
41,,6,41,钓鱼大返利,金币钓鱼{0}次,10,807029
42,,6,42,钓鱼大返利,金币钓鱼{0}次,20,807030
43,,6,43,钓鱼大返利,金币钓鱼{0}次,30,807031
44,,6,44,钓鱼大返利,金币钓鱼{0}次,50,807032
45,,7,45,充值送仙器,累计充值{0}钻石,30,807039
46,,7,46,充值送仙器,累计充值{0}钻石,60,807040
47,,7,47,充值送仙器,累计充值{0}钻石,100,807041
48,,7,48,充值送仙器,累计充值{0}钻石,150,807042
49,,7,49,充值送仙器,累计充值{0}钻石,200,807043
50,,7,50,充值送仙器,累计充值{0}钻石,500,807044
51,,7,51,充值送仙器,累计充值{0}钻石,1000,807045
52,,8,52,钓鱼大返利,钻石钓鱼{0}次,2,807080
53,,8,53,钓鱼大返利,钻石钓鱼{0}次,5,807081
54,,8,54,钓鱼大返利,钻石钓鱼{0}次,10,807082
55,,8,55,钓鱼大返利,钻石钓鱼{0}次,20,807083
56,,8,56,钓鱼大返利,钻石钓鱼{0}次,40,807084
57,,8,57,钓鱼大返利,钻石钓鱼{0}次,80,807085
58,,9,58,登陆奖励,累计登陆{0}天,1,807087
59,,9,59,登陆奖励,累计登陆{0}天,2,807088
60,,9,60,登陆奖励,累计登陆{0}天,3,807089
61,,9,61,登陆奖励,累计登陆{0}天,4,807090
62,,9,62,登陆奖励,累计登陆{0}天,5,807091
63,,9,63,登陆奖励,累计登陆{0}天,6,807092
64,,10,64,消费返钻石,累计消费{0}钻石,100,807046
65,,10,65,消费返钻石,累计消费{0}钻石,200,807047
66,,10,66,消费返钻石,累计消费{0}钻石,500,807048
67,,10,67,消费返钻石,累计消费{0}钻石,1000,807049
68,,10,68,消费返钻石,累计消费{0}钻石,2000,807050
69,,10,69,消费返钻石,累计消费{0}钻石,5000,807051
70,,10,70,消费返钻石,累计消费{0}钻石,10000,807052
71,,11,71,闯关有礼,挑战普通副本{0}次,10,807008
72,,11,72,闯关有礼,挑战普通副本{0}次,30,807009
73,,11,73,闯关有礼,挑战普通副本{0}次,50,807010
74,,11,74,闯关有礼,挑战普通副本{0}次,100,807011
75,,11,75,闯关有礼,挑战普通副本{0}次,200,807012
76,,11,76,闯关有礼,挑战普通副本{0}次,300,807013
77,,11,77,闯关有礼,挑战普通副本{0}次,400,807014
78,,12,78,精英送钻石,挑战精英副本{0}次,5,807015
79,,12,79,精英送钻石,挑战精英副本{0}次,10,807016
80,,12,80,精英送钻石,挑战精英副本{0}次,20,807017
81,,12,81,精英送钻石,挑战精英副本{0}次,30,807018
82,,12,82,精英送钻石,挑战精英副本{0}次,50,807019
83,,12,83,精英送钻石,挑战精英副本{0}次,75,807020
84,,12,84,精英送钻石,挑战精英副本{0}次,100,807021
85,,13,85,封神送宝石,通关封神台{0}层,5,807022
86,,13,86,封神送宝石,通关封神台{0}层,10,807023
87,,13,87,封神送宝石,通关封神台{0}层,15,807024
88,,13,88,封神送宝石,通关封神台{0}层,20,807025
89,,13,89,封神送宝石,通关封神台{0}层,25,807026
90,,13,90,封神送宝石,通关封神台{0}层,30,807027
91,,13,91,封神送宝石,通关封神台{0}层,35,807028
92,,14,92,钓鱼大返利,金币钓鱼{0}次,10,807029
93,,14,93,钓鱼大返利,金币钓鱼{0}次,20,807030
94,,14,94,钓鱼大返利,金币钓鱼{0}次,30,807031
95,,14,95,钓鱼大返利,金币钓鱼{0}次,50,807032
96,,15,96,充值送仙器,累计充值{0}钻石,30,807039
97,,15,97,充值送仙器,累计充值{0}钻石,60,807040
98,,15,98,充值送仙器,累计充值{0}钻石,100,807041
99,,15,99,充值送仙器,累计充值{0}钻石,150,807042
100,,15,100,充值送仙器,累计充值{0}钻石,200,807043
101,,15,101,充值送仙器,累计充值{0}钻石,500,807044
102,,15,102,充值送仙器,累计充值{0}钻石,1000,807045
103,,16,103,钓鱼大返利,钓鱼台购买中级经验丹{0}次,2,807033
104,,16,104,钓鱼大返利,钓鱼台购买中级经验丹{0}次,5,807034
105,,16,105,钓鱼大返利,钓鱼台购买中级经验丹{0}次,10,807035
106,,16,106,钓鱼大返利,钓鱼台购买中级经验丹{0}次,20,807036
107,,16,107,钓鱼大返利,钓鱼台购买中级经验丹{0}次,40,807037
108,,16,108,钓鱼大返利,钓鱼台购买中级经验丹{0}次,80,807038