Key,Remarks,vip,rechargeCount,powerCount,moneyCount,copyCount,mopupCount,sportBuyCount,skillPointCount,expeditionCount,battleTowerResetTimes,goldMopupOpen,buySkillPointOpen,peakSportResetCDOpen,onekeyMopupTenOpen,onekeyAddSpiritOpen,everSpecialStore1Open,everSpecialStore2Open,thirdChestsOpen,arenaResetCDOpen,arenaResetTimes,peakArenaResetTimes,trial1CopyResetTimes,trial2CopyResetTimes,warfareCopyResetTimes,towerResetTime,copyCelestal,secretCopyCount,fashionBuyOpen,resignOpen,battleRate,desc,colorPattern1,colorPattern2,VIPIcon,VIPPicture
0,,,,1,1,,20,,30,,1,1,,,,,,,,,,,,,,1,,2,,,,,ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_01.png,Noble/Noble_01.png
1,,1,60,2,3,,25,,40,,1,1,1,,,,,,,,,,,,,1,,2,,,,[c1]每天可购买体力[-][c2]2[-][c1]次[-]_[c1]每天可使用点金手[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]25[-][c1]张[-]_[c1]技能点上限增加至[-][c2]40[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]3[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]3[-][c1]张[-]_[c1]解锁[-][c2]贵族等级1头像框[-][c1]使用[-]_[c1]解锁[-][c2]购买技能点[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_12.png,Noble/Noble_01.png
2,,2,300,3,5,1,30,,42,,1,1,1,,,,,,,,,,1,1,,1,1,2,,1,,[c1]每天可购买体力[-][c2]3[-][c1]次[-]_[c1]每天可使用点金手[-][c2]5[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]1[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]30[-][c1]张[-]_[c1]技能点上限增加至[-][c2]42[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]5[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]5[-][c1]张[-]_[c1]解锁[-][c2]补签[-][c1]功能[-]_[c1]每天可重置炼气山谷[-][c2]1[-][c1]次[-]_[c1]每天可重置生存炼境[-][c2]1[-][c1]次[-]_[c1]每天可购买心魔录挑战次数[-][c2]1[-][c1]次[-]_[c1]解锁[-][c2]举报玩家[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_11.png,Noble/Noble_02.png
3,,3,600,4,8,1,35,5,44,,1,1,1,1,,,,,,1,,5,1,2,,1,1,2,1,1,,[c1]每天可购买体力[-][c2]4[-][c1]次[-]_[c1]每天可使用点金手[-][c2]8[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]1[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]35[-][c1]张[-]_[c1]技能点上限增加至[-][c2]44[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]10[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]10[-][c1]张[-]_[c1]解锁[-][c2]一键扫荡[-][c1]功能[-]_[c1]解锁[-][c2]时装购买[-][c1]功能[-]_[c1]每天可重置炼气山谷[-][c2]2[-][c1]次[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_03.png,Noble/Noble_03.png
4,,4,1000,5,12,2,40,10,46,,1,1,1,1,1,,,,,1,,10,1,2,,1,1,2,1,1,3,[c1]每天可购买体力[-][c2]5[-][c1]次[-]_[c1]每天可使用点金手[-][c2]12[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]2[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]40[-][c1]张[-]_[c1]技能点上限增加至[-][c2]46[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]15[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]15[-][c1]张[-]_[c1]解锁[-][c2]战斗3倍加速[-][c1]功能[-]_[c1]新增每日任务：[-][c2]金币大赠送[-][c1]（每日领取[-][c2]20万[-][c1]金币[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_05.png,Noble/Noble_04.png
5,,5,2000,6,16,3,45,15,48,,1,1,1,1,1,,,,,1,,15,1,2,,1,1,2,1,1,3,[c1]每天可购买体力[-][c2]6[-][c1]次[-]_[c1]每天可使用点金手[-][c2]16[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]1[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]45[-][c1]张[-]_[c1]技能点上限增加至[-][c2]48[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]20[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]20[-][c1]张[-]_[c1]可同时探索[c2]3[-][c1]个[-]帮派秘境[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_04.png,Noble/Noble_05.png
6,,6,3000,7,20,3,50,20,50,,1,1,1,1,1,,,,,1,,20,2,3,,1,2,2,1,1,3,[c1]每天可购买体力[-][c2]7[-][c1]次[-]_[c1]每天可使用点金手[-][c2]20[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]2[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]50[-][c1]张[-]_[c1]技能点上限增加至[-][c2]50[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]25[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]25[-][c1]张[-]_[c1]每天可重置炼气山谷[-][c2]3[-][c1]次[-]_[c1]每天可重置生存炼境[-][c2]2[-][c1]次[-]_[c1]每天可购买心魔录挑战次数[-][c2]2[-][c1]次[-]_[c1]新增每日任务：[-][c2]经验丹大赠送[-][c1]（每日领取[-][c2]2[-][c1]个经验大仙丹[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_13.png,Noble/Noble_06.png
7,,7,5000,8,25,3,55,25,52,,1,1,1,1,1,,,,,1,,25,2,3,,1,2,4,1,1,3,[c1]每天可购买体力[-][c2]8[-][c1]次[-]_[c1]每天可使用点金手[-][c2]25[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]2[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]55[-][c1]张[-]_[c1]技能点上限增加至[-][c2]52[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]30[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]30[-][c1]张[-]_[c1]可同时探索[c2]4[-][c1]个[-]帮派秘境[-]_[c1]永久开启[-][c2]云游商人[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_04.png,Noble/Noble_07.png
8,,8,7000,9,30,3,60,30,54,1,1,1,1,1,1,,,,,1,,30,2,3,,2,2,4,1,1,3,[c1]每天可购买体力[-][c2]9[-][c1]次[-]_[c1]每天可使用点金手[-][c2]30[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]2[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]60[-][c1]张[-]_[c1]技能点上限增加至[-][c2]54[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]35[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]35[-][c1]张[-]_[c1]每天可重置万仙阵[-][c2]2[-][c1]次[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_10.png,Noble/Noble_06.png
9,,9,10000,10,35,3,65,35,56,1,1,1,1,1,1,,1,,1,1,,35,2,3,,2,2,4,1,1,3,[c1]每天可购买体力[-][c2]10[-][c1]次[-]_[c1]每天可使用点金手[-][c2]35[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]3[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]2[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]65[-][c1]张[-]_[c1]技能点上限增加至[-][c2]56[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]40[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]40[-][c1]张[-]_[c1]解锁[-][c2](钓鱼台)高级经验丹购买[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_02.png,Noble/Noble_08.png
10,,10,15000,11,40,4,70,40,58,1,2,1,1,1,1,,1,,1,1,,40,3,3,,2,2,4,1,1,3,[c1]每天可购买体力[-][c2]11[-][c1]次[-]_[c1]每天可使用点金手[-][c2]40[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]4[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]70[-][c1]张[-]_[c1]技能点上限增加至[-][c2]58[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]45[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]45[-][c1]张[-]_[c1]每天可重置封神台[-][c2]2[-][c1]次[-]_[c1]新增每日任务：[-][c2]附灵大赠送[-][c1]（每日领取[-][c2]2[-][c1]个高级灵石[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_07.png,Noble/Noble_09.png
11,,11,20000,12,50,4,75,45,60,1,2,1,1,1,1,,1,1,1,1,,45,3,3,,2,2,4,1,1,3,[c1]每天可购买体力[-][c2]12[-][c1]次[-]_[c1]每天可使用点金手[-][c2]50[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]4[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]75[-][c1]张[-]_[c1]技能点上限增加至[-][c2]60[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]50[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]50[-][c1]张[-]_[c1]永久开启[-][c2]神秘商人[-][c1]功能[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_08.png,Noble/Noble_10.png
12,,12,30000,13,60,4,80,50,62,1,2,1,1,1,1,,1,1,1,1,,50,3,3,,3,3,4,1,1,3,[c1]每天可购买体力[-][c2]13[-][c1]次[-]_[c1]每天可使用点金手[-][c2]60[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]4[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]80[-][c1]张[-]_[c1]技能点上限增加至[-][c2]62[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]55[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]55[-][c1]张[-]_[c1]每天可重置万仙阵[-][c2]3[-][c1]次[-]_[c1]每天可重置生存炼境[-][c2]3[-][c1]次[-]_[c1]每天可购买心魔录挑战次数[-][c2]3[-][c1]次[-]_[c1]新增每日任务：[-][c2]万能魂石大赠送[-][c1]（每日领取[-][c2]8[-][c1]个万能魂石[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_06.png,Noble/Noble_11.png
13,,13,50000,14,80,5,85,55,64,1,2,1,1,1,1,,1,1,1,1,,55,3,3,,3,3,4,1,1,3,[c1]每天可购买体力[-][c2]14[-][c1]次[-]_[c1]每天可使用点金手[-][c2]80[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]5[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]85[-][c1]张[-]_[c1]技能点上限增加至[-][c2]64[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]60[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]60[-][c1]张[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_08.png,Noble/Noble_12.png
14,,14,120000,15,100,5,90,60,66,1,3,1,1,1,1,,1,1,1,1,,60,3,3,,3,3,4,1,1,3,[c1]每天可购买体力[-][c2]15[-][c1]次[-]_[c1]每天可使用点金手[-][c2]100[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]5[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]90[-][c1]张[-]_[c1]技能点上限增加至[-][c2]66[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]65[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]65[-][c1]张[-]_[c1]每天可重置封神台[-][c2]3[-][c1]次[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_09.png,Noble/Noble_11.png
15,,15,200000,16,160,5,95,65,68,1,3,1,1,1,1,,1,1,1,1,,65,3,3,,3,3,4,1,1,3,[c1]每天可购买体力[-][c2]16[-][c1]次[-]_[c1]每天可使用点金手[-][c2]160[-][c1]次[-]_[c1]每天可重置精英副本[-][c2]5[-][c1]次[-]_[c1]每天可重置聚宝之地[-][c2]3[-][c1]次[-]_[c1]每天领取扫荡卷[-][c2]95[-][c1]张[-]_[c1]技能点上限增加至[-][c2]68[-][c1]点[-]_[c1]每天可购买论道场门票[-][c2]70[-][c1]张[-]_[c1]每天可购买巅峰竞技场门票[-][c2]70[-][c1]张[-]_[c1]新增每日任务：[-][c2]觉醒碎片大赠送[-][c1]（每日领取[-][c2]8[-][c1]个觉醒碎片[-],ffffff_96FF00,ffffff_ff7200,FirstRecharge/FRIcon_15.png,Noble/Noble_13.png